X,Y,objectid,stncode,stnname,city2,state,stfips
-73.994458999966227,40.750326999893062,1,NYP,"New York (Penn Station), New York",New York,NY,36
-77.006422000431755,38.896993000169722,2,WAS,"Washington, District of Columbia",Washington,DC,11
-75.1810409997465,39.955615000012479,3,PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,42
-87.639443000304311,41.878684000034553,4,CHI,"Chicago (Union Station), Illinois",Chicago,IL,17
-71.055303999629416,42.352311000127678,5,BOS,"Boston (South Station), Massachusetts",Boston,MA,25
-118.236778000024003,34.056176999862451,6,LAX,"Los Angeles, California",Los Angeles,CA,06
-121.500703999961758,38.584004000067566,7,SAC,"Sacramento, California",Sacramento,CA,06
-76.615687999673696,39.307302000180336,8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24
-73.741147000431766,42.641028999686881,9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36
-71.413477999670789,41.829490000162068,10,PVD,"Providence, Rhode Island",Providence,RI,44
-117.16957600014581,32.716168999747453,11,SAN,"San Diego (Downtown), California",San Diego,CA,06
-75.551095000231456,39.737262999896686,12,WIL,"Wilmington, Delaware",Wilmington,DE,10
-76.69429999958173,39.192361999865639,13,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar",BWI Marshall Airport,MD,24
-74.164749999906235,40.734705999951586,14,NWK,"Newark (Penn Station), New Jersey",Newark,NJ,34
-122.330161000187118,47.598445000245732,15,SEA,"Seattle (Amtrak), Washington",Seattle,WA,53
-72.926669999558925,41.29771399982176,16,NHV,"New Haven, Connecticut",New Haven,CT,09
-71.075828000266796,42.347317000212108,17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25
-87.917104000006489,43.034517999847473,18,MKE,"Milwaukee, Wisconsin",Milwaukee,WI,55
-122.676806000312581,45.528724000303704,19,PDX,"Portland, Oregon",Portland,OR,41
-122.29161500011628,37.840473999969568,20,EMY,"Emeryville, California",Emeryville,CA,06
-76.307714000190856,40.054180999905796,21,LNC,"Lancaster, Pennsylvania",Lancaster,PA,42
-76.878256000045582,40.262050000145599,22,HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,42
-119.008209999829589,35.372139999840869,23,BFD,"Bakersfield, California",Bakersfield,CA,06
-71.147894000055672,42.210241999959671,24,RTE,"Westwood, Route 128 Station, Massachusetts",Route 128,MA,25
-74.754439999673707,40.219011000023187,25,TRE,"Trenton, New Jersey",Trenton,NJ,34
-71.061121999652428,42.366234999885485,26,BON,"Boston (North Station), Massachusetts",Boston,MA,25
-73.542159999663539,41.047130000267344,27,STM,"Stamford, Connecticut",Stamford,CT,09
-117.27113499955766,32.992937000028498,28,SOL,"Solana Beach, California",Solana Beach,CA,06
-121.737707000173074,38.54356200016062,29,DAV,"Davis, California",Davis,CA,06
-74.329582999673349,40.568055999726532,30,MET,"Metropark (Iselin), New Jersey",Metropark,NJ,34
-119.782925999565506,36.738456999989566,31,FNO,"Fresno, California",Fresno,CA,06
-122.138784000093167,38.018920999930153,32,MTZ,"Martinez, California",Martinez,CA,06
-117.733694999904941,33.656771000130938,33,IRV,"Irvine, California",Irvine,CA,06
-77.496943000041767,37.617692999859578,34,RVR,"Richmond (Staples Mill Rd), Virginia",Richmond,VA,51
-122.271667000137356,37.793865999927569,35,OKJ,"Oakland, California",Oakland - Jack London Square,CA,06
-119.692784999741562,34.413718000271956,36,SBA,"Santa Barbara, California",Santa Barbara,CA,06
-90.203838000368847,38.6244609997363,37,STL,"St. Louis, Missouri",St. Louis,MO,29
-117.379429999957779,33.19251500027972,38,OSD,"Oceanside, California",Oceanside,CA,06
-117.922849000250707,33.868969000262453,39,FUL,"Fullerton, California",Fullerton,CA,06
-121.285632000176392,37.945468000125835,40,SKN,"Stockton (711-718), California",Stockton,CA,06
-122.354130000413264,37.936751999965026,41,RIC,"Richmond, California",Richmond,CA,06
-117.200073000049485,32.755266000256455,42,OLT,"San Diego (Old Town), California",San Diego - Old Town,CA,06
-117.877307999623866,33.803803000231596,43,ANA,"Anaheim, California",Anaheim,CA,06
-77.220941999848066,38.708143000170516,44,LOR,"Lorton (Auto Train), Virginia",Lorton,VA,51
-81.291273999851953,28.808544000208563,45,SFA,"Sanford (Auto Train), Florida",Sanford,FL,12
-88.98430599988464,40.509010000262819,46,BNL,"Bloomington-Normal, Illinois",Bloomington-Normal,IL,17
-121.902387999604187,37.32993300018363,47,SJC,"San Jose, California",San Jose,CA,06
-117.663813000404559,33.501317999686329,48,SNC,"San Juan Capistrano, California",San Juan Capistrano,CA,06
-73.797729000179686,42.253891000079776,49,HUD,"Hudson, New York",Hudson,NY,36
-73.951278000253211,41.921346000213333,50,RHI,"Rhinecliff, New York",Rhinecliff,NY,36
-75.483760000344319,40.042753999930675,51,PAO,"Paoli, Pennsylvania",Paoli,PA,42
-119.65181599990602,36.32607799966631,52,HNF,"Hanford, California",Hanford,CA,06
-77.062329999611833,38.806503000307117,53,ALX,"Alexandria, Virginia",Alexandria,VA,51
-90.078290999565922,29.946084999945967,54,NOL,Union Passenger Terminal,New Orleans,LA,22
-80.822811999816025,35.241403000123945,55,CLT,"Charlotte, North Carolina",Charlotte,NC,37
-76.871494000016312,38.948098000212987,56,NCR,"New Carrollton, Maryland",New Carrollton,MD,24
-122.041098999717164,38.243400999963157,57,SUI,"Suisun, California",Suisun-Fairfield,CA,06
-70.291258000192073,43.654097000153641,58,POR,"Portland, Maine",Portland,ME,23
-89.651384000069726,39.802323000024138,59,SPI,"Springfield, Illinois",Springfield,IL,17
-71.56059699997607,41.483959000033835,60,KIN,"West Kingston, Rhode Island",Kingston,RI,44
-88.241365999794439,40.115843000139506,61,CHM,"Champaign-Urbana, Illlinois",Champaign-Urbana,IL,17
-87.924358999955217,42.940582999738993,62,MKA,"Milwaukee (General Mitchell Intl Airport), Wiscons",Milwaukee Mitchell Airport,WI,55
-72.093224999596671,41.354267000114703,63,NLC,"New London, Connecticut",New London,CT,09
-78.645894000343446,35.774923000069187,64,RGH,"Raleigh, North Carolina",Raleigh,NC,37
-121.96700299962572,37.406777999930632,65,GAC,"Santa Clara (Great America), California",Santa Clara- Great American,CA,06
-94.585129000035124,39.084576000335716,66,KCY,"Kansas City, Missouri",Kansas City,MO,29
-122.300707000023806,37.867253999871764,67,BKY,"Berkeley, California",Berkeley,CA,06
-117.856607000332744,33.751629000010304,68,SNA,"Santa Ana, California",Santa Ana,CA,06
-79.99230699982742,40.444738000116757,69,PGH,"Pittsburgh, Pennsylvania",Pittsburgh,PA,42
-74.18229000018907,40.696617999874881,70,EWR,"Newark Liberty International Airport, New Jersey",Newark Liberty Airport,NJ,34
-72.681314000305207,41.768760999706053,71,HFD,"Hartford, Connecticut",Hartford,CT,09
-104.999928999911219,39.752959000102244,72,DEN,"Denver, Colorado",Denver,CO,08
-78.491684000120927,38.031484000271178,73,CVS,"Charlottesville, Virginia",Charlottesville,VA,51
-81.381515999958282,28.525926000118563,74,ORL,"Orlando, Florida",Orlando,FL,12
-75.621713000223892,40.019291000202166,75,EXT,"Exton, Pennsylvania",Exton,PA,42
-83.743153999975803,42.28769199991504,76,ARB,"Ann Arbor, Michigan",Ann Arbor,MI,26
-76.169244000102324,43.076548000320997,77,SYR,"Syracuse, New York",Syracuse,NY,36
-77.608057000041768,43.163410999765148,78,ROC,"Rochester, New York",Rochester,NY,36
